Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-01,1.1502408923102325,1.1502408923102325,1.110381051791395,1.1312600374221802,700000,0.0,0.0
1996-01-02,1.1312604762208103,1.14834329750015,1.1198719588705472,1.1293623447418213,824000,0.0,0.0
1996-01-03,1.129361797909122,1.1369541391331144,1.1198714166330546,1.1331579685211182,568000,0.0,0.0
1996-01-04,1.1331577494162943,1.13125970973122,1.1160750302193105,1.1255654096603394,564000,0.0,0.0
1996-01-05,1.1255659960725,1.1312602991100733,1.1198717835428027,1.1236679553985596,378000,0.0,0.0
1996-01-08,1.1236677709721732,1.119871599739478,1.1046869148086962,1.1103811264038086,474000,0.0,0.0
1996-01-09,1.1103810040738855,1.1103810040738855,1.062928823639037,1.0743173360824585,966000,0.0,0.0
1996-01-10,1.0743175037106933,1.0876041488884234,1.0667251608970951,1.0781136751174927,452000,0.0,0.0
1996-01-11,1.0781135068969323,1.0932982806626792,1.062928823639037,1.0743173360824585,636000,0.0,0.0
1996-01-12,1.0743175647501177,1.076215695815296,1.0629290498826596,1.07241952419281,862000,0.0,0.0
1996-01-15,1.0724193388342118,1.0686231678678617,1.0534384840024618,1.059132695198059,362000,0.0,0.0
1996-01-16,1.0591325678277559,1.0629287383375818,1.0401517152786255,1.0401517152786255,716000,0.0,0.0
1996-01-17,1.0401518829918268,1.0610308694163022,0.9983940006507348,1.0078843832015991,858000,0.0,0.0
1996-01-18,1.0078843241630253,1.0078843241630253,0.9870053389615728,1.002190113067627,660000,0.0,0.0
1996-01-19,1.0021901612321669,0.9983939901501755,0.9623303196173282,0.969922661781311,852000,0.0,0.0
1996-01-22,0.9699225530071831,0.983209105050174,0.9566359104563443,0.9661263823509216,718000,0.0,0.0
1996-01-23,0.9661262937236108,0.9870051851638056,0.9528396523916183,0.9604319930076599,798000,0.0,0.0
1996-01-24,0.9604323208660699,0.9604323208660699,0.9300629480348488,0.9357571601867676,898000,0.0,0.0
1996-01-25,0.9357570740779093,0.9300628624499748,0.914878177431667,0.9243685603141785,780000,0.0,0.0
1996-01-26,0.9243685603141785,0.9243685603141785,0.9243685603141785,0.9243685603141785,0,0.0,0.0
1996-01-29,0.9243687398782287,0.9471457718302624,0.909184051910206,0.9433495998382568,622000,0.0,0.0
1996-01-30,0.9433494851984733,0.9680246454018209,0.9433494851984733,0.9566361308097839,904000,0.0,0.0
1996-01-31,0.9566360537823783,1.0002920681239809,0.9680245674574232,0.9832092523574829,688000,0.0,0.0
1996-02-01,0.9832092509050109,1.062928937020418,0.9870054221244179,1.055336594581604,848000,0.0,0.0
