Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-01-25,59.02540683896886,61.28217735262967,49.5734066193396,60.31431198120117,15636996,0.0,0.0
2006-01-27,60.1962776030833,60.69200731367613,58.40218964945228,59.75247573852539,11666169,0.0,0.0
2006-01-30,60.66840745944413,60.66840745944413,58.166132053510715,58.38566970825195,12102462,0.0,0.0
2006-01-31,58.59105391793669,59.29924772330898,58.2251534609766,58.4163703918457,6260661,0.0,0.0
2006-02-01,59.001792912895965,59.001792912895965,57.50986424641986,57.7907829284668,5871969,0.0,0.0
2006-02-02,58.54383783549473,58.54383783549473,55.71107567164043,55.921173095703125,14390901,0.0,0.0
2006-02-03,56.08877487080783,56.08877487080783,54.247475625242444,54.861244201660156,15967719,0.0,0.0
2006-02-06,54.9934342017961,56.91499156982616,54.200258828406966,56.42634201049805,11442303,0.0,0.0
2006-02-07,56.1832079588925,56.41926608249323,54.76682031515834,55.267276763916016,15129585,0.0,0.0
2006-02-08,55.474997202385765,56.1831908080653,54.8140178004888,55.6685676574707,11465145,0.0,0.0
2006-02-10,55.64969620514173,55.85271344783553,55.28852235791836,55.526947021484375,8099442,0.0,0.0
2006-02-13,55.56944987774288,55.711092567473976,54.50716212320923,55.40656661987305,8487801,0.0,0.0
2006-02-14,54.51661256218781,56.51371237961665,54.51661256218781,55.34519577026367,18634869,0.0,0.0
2006-02-15,55.616657910845916,55.616657910845916,53.25838130364732,54.70781326293945,12813444,0.0,0.0
2006-02-16,54.76681708035496,55.00288167370083,53.739940313697595,54.419803619384766,8855253,0.0,0.0
2006-02-17,54.49299213603938,54.9037403029791,52.552547278817144,52.97037887573242,8710479,0.0,0.0
2006-02-20,52.9916133692209,54.294685377387474,52.422698991493206,54.072784423828125,7244928,0.0,0.0
2006-02-21,54.29469791372364,55.23895316314512,53.82256866809072,54.83528518676758,10744794,0.0,0.0
2006-02-22,55.002879819412904,55.74648099409291,54.778622029322996,55.46084213256836,9902421,0.0,0.0
2006-02-23,55.475004275583025,56.89138518384777,55.39710277451506,56.45466995239258,18689589,0.0,0.0
2006-02-24,55.762998019419015,55.94712823367537,54.92024844200289,55.699256896972656,3504294,0.0,0.0
2006-02-27,55.66384310766655,55.852693424093886,55.2389282747836,55.633155822753906,4807692,0.0,0.0
2006-02-28,55.71105586453333,55.994328089993424,53.359857491100676,53.6525764465332,17041689,0.0,0.0
2006-03-01,53.72814426030328,53.96420888660381,52.500613390491615,52.97746276855469,13059945,0.0,0.0
2006-03-02,52.500607576008555,54.521313810309884,52.46047678849265,54.24747848510742,9761364,0.0,0.0
