Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-01-25,68.1719021018086,68.5441074900319,67.09447715199674,67.42749786376953,117047947,0.0,0.0
2006-01-27,68.06417114759485,68.87713723381515,68.05437661179973,68.43147277832031,54941663,0.0,0.0
2006-01-30,68.56369783570054,70.34635545710888,68.56369783570054,69.64602661132812,63495319,0.0,0.0
2006-01-31,69.38648874596782,70.5030922382982,69.38648874596782,69.92520141601562,54326385,0.0,0.0
2006-02-01,69.99374221944119,70.40512577151746,68.66164621195986,69.03385162353516,43206477,0.0,0.0
2006-02-02,69.53339667369427,70.12108848671616,68.66165675999584,69.41096496582031,43943959,0.0,0.0
2006-02-03,69.24933246992299,69.24933246992299,68.07395565560785,68.23067474365234,30004832,0.0,0.0
2006-02-06,68.07396664842071,70.79202883099957,66.94756232397158,70.55695343017578,83346920,0.0,0.0
2006-02-07,70.57654571533203,70.86549107694809,69.20037412350226,70.57654571533203,59512226,0.0,0.0
2006-02-08,70.51775806482767,70.71855255946288,69.93497018822983,70.17984008789062,59064976,0.0,0.0
2006-02-10,70.03292066629164,70.87037957679544,70.03292066629164,70.48348236083984,45202538,0.0,0.0
2006-02-13,70.03292795523595,70.62061974171166,70.03292795523595,70.20923614501953,27743423,0.0,0.0
2006-02-14,70.03291560185026,70.94873072747147,69.7488675641086,69.95455932617188,57810973,0.0,0.0
2006-02-15,69.74886871276782,70.41491668222547,68.22088208143055,68.74000549316406,67014266,0.0,0.0
2006-02-16,68.74001857450445,69.48442296259228,67.98091584328021,68.27476501464844,35513864,0.0,0.0
2006-02-17,68.85753369847596,69.29830079348868,67.58421162053361,67.89274597167969,40528581,0.0,0.0
2006-02-20,67.97599452906181,68.9016040531042,67.48625480123485,68.76448059082031,28227011,0.0,0.0
2006-02-21,68.76451622765363,69.1514135592751,68.005419909965,68.34333801269531,29401892,0.0,0.0
2006-02-22,68.49024343205551,69.10241496836431,68.36780520174888,68.95059967041016,25688530,0.0,0.0
2006-02-23,69.05344329123686,69.23464873627795,68.07886085598398,68.59798431396484,54348189,0.0,0.0
2006-02-24,68.759588565033,69.28850646525416,68.46573947521497,68.84284210205078,21010408,0.0,0.0
2006-02-27,68.85754966959914,69.13670048427944,68.26986443220991,68.57350158691406,47238261,0.0,0.0
2006-02-28,68.93100763391803,70.02312443229641,68.10334327866225,69.4305419921875,67553448,0.0,0.0
2006-03-01,69.34728751779208,69.92518474067106,68.76939683332147,69.37178039550781,39579019,0.0,0.0
2006-03-02,69.54318937416583,70.42472380121892,69.24934674461774,69.85173034667969,33440448,0.0,0.0
2006-03-03,70.03293397000834,70.32678315768776,69.37178964375275,70.10639953613281,36620586,0.0,0.0
2006-03-06,70.22881345891764,71.88413556631289,70.22881345891764,71.7176284790039,53639371,0.0,0.0
2006-03-07,71.82535791293398,72.48161124740128,71.40417991182763,71.74700164794922,47205302,0.0,0.0
2006-03-08,71.79597201995306,71.79597201995306,69.70478041931823,70.51285552978516,61494358,0.0,0.0
2006-03-09,70.91446633320145,71.37482263658666,69.69011654922241,71.18382263183594,40411075,0.0,0.0
2006-03-10,71.60010488170366,72.27594754453239,71.22300867180684,71.64418029785156,30233677,0.0,0.0
2006-03-13,71.64905854565104,72.60405833404458,71.60008587404302,72.02616119384766,34700724,0.0,0.0
2006-03-14,71.89394730483392,73.11830364671201,71.41889918878341,72.72650909423828,32703088,0.0,0.0
2006-03-16,72.97137382384274,75.42007979364972,72.72650388070291,75.27315521240234,77186860,0.0,0.0
2006-03-17,75.42008904229337,76.59056895248573,74.74424634713186,75.91472625732422,55913414,0.0,0.0
2006-03-20,76.0763537430618,76.39958006242966,75.46907272118321,76.20858001708984,21719690,0.0,0.0
2006-03-21,76.39955862089687,77.8687847999654,75.86084606033661,76.44363403320312,38242210,0.0,0.0
2006-03-22,76.6885181302524,77.03623730167561,74.30348277330992,75.66496276855469,44707366,0.0,0.0
2006-03-23,76.54647805658048,76.83542338958026,75.28784102596124,76.1399917602539,33847162,0.0,0.0
2006-03-24,76.00777036801715,76.88930484045696,76.00777036801715,76.61505126953125,24725660,0.0,0.0
2006-03-27,76.987243809803,78.13323712370709,76.987243809803,77.80510711669922,26706864,0.0,0.0
2006-03-28,77.8687818404188,78.06467255433473,77.1439600452965,77.46229553222656,16031818,0.0,0.0
2006-03-29,77.96674441905178,78.14305263892827,77.10969620272722,77.7463607788086,16167392,0.0,0.0
