Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-01-25,134.35714469346763,135.25013987692088,133.90901595131234,134.53639221191406,6365736,0.0,0.0
2006-01-27,136.88288759159082,136.88288759159082,134.48743506953122,135.1848907470703,3003816,0.0,0.0
2006-01-30,135.69337925541706,136.85036216134176,134.60971854730263,135.1637725830078,1383144,0.0,0.0
2006-01-31,136.85031617261748,136.85031617261748,134.63085836700947,136.10072326660156,1503160,0.0,0.0
2006-02-01,134.9275690476991,136.7200850616178,134.47129423336514,135.79612731933594,3896696,0.0,0.0
2006-02-02,136.06809954099833,136.55696696449894,132.78128368188533,133.363037109375,3135736,0.0,0.0
2006-02-03,133.61566902900393,134.25934671161608,131.37502579246853,132.8742218017578,4357520,0.0,0.0
2006-02-06,132.8008184497156,137.12729253514757,132.5123835286762,136.8062744140625,2894976,0.0,0.0
2006-02-07,136.88288227983978,137.9828340124456,133.97086271083108,136.40216064453125,7002784,0.0,0.0
2006-02-08,135.74223452919406,136.23924792451743,134.63087434468636,135.45706176757812,3332648,0.0,0.0
2006-02-10,136.08123118615538,136.72001560169164,134.03613639848467,136.0355987548828,2728200,0.0,0.0
2006-02-13,136.0355682795216,136.06816144512322,134.27564674345092,134.52008056640625,2020544,0.0,0.0
2006-02-14,136.06812679139173,136.06812679139173,131.5053632582672,131.8769073486328,6962064,0.0,0.0
2006-02-15,134.26750713891707,134.26750713891707,130.77210132003376,131.94212341308594,4209320,0.0,0.0
2006-02-16,132.40161913847504,133.60749632504258,131.34240618536725,132.74057006835938,5284488,0.0,0.0
2006-02-17,134.4385901817909,134.9600509450367,131.9942521784856,132.40164184570312,2923448,0.0,0.0
2006-02-20,133.54235103364965,134.8459981456316,132.59720886667037,134.4272003173828,2643608,0.0,0.0
2006-02-21,134.84600634992768,136.14965354122606,134.52824035784093,135.7422637939453,2301240,0.0,0.0
2006-02-22,136.06812341555067,136.06812341555067,134.54449032338334,135.40489196777344,1156592,0.0,0.0
2006-02-23,135.25334269184262,137.68953440784844,135.25334269184262,136.11375427246094,4141584,0.0,0.0
2006-02-24,136.0893506923144,136.8829450662416,134.9519217839009,136.07305908203125,1097336,0.0,0.0
2006-02-27,135.82368213442365,138.10506371796527,135.7747973754118,137.7270050048828,2521112,0.0,0.0
2006-02-28,138.10510647096086,138.83840792124917,136.06815799793785,138.5776824951172,2821744,0.0,0.0
2006-03-01,138.51252353616982,142.21162468334367,137.47449518488193,141.78793334960938,4506152,0.0,0.0
2006-03-02,142.21156192763502,142.91227004239872,140.1713516514821,141.91824340820312,3277696,0.0,0.0
2006-03-03,141.93452452004803,141.93452452004803,138.29734928830638,138.9817657470703,2124440,0.0,0.0
2006-03-06,139.8161039801373,142.83078687481392,139.32723648370327,142.12193298339844,3631584,0.0,0.0
2006-03-07,141.7845879829203,142.58632774949106,140.14199070235694,140.52493286132812,1985168,0.0,0.0
2006-03-08,141.11982464723795,141.771648317664,138.91991975955008,140.35067749023438,3813488,0.0,0.0
2006-03-09,140.1420737770764,140.79389737603955,137.69773528096462,140.53805541992188,4662712,0.0,0.0
2006-03-10,137.860674625238,144.62334365236256,137.6977187450663,143.6993865966797,6434944,0.0,0.0
2006-03-13,144.52555499210348,150.53862020770995,144.52555499210348,148.99053955078125,7178552,0.0,0.0
2006-03-14,148.68908462692693,148.91721687585672,145.93512646299246,146.91775512695312,3477456,0.0,0.0
2006-03-16,148.04537526012436,149.9112215495277,147.17356552621942,149.54457092285156,4600064,0.0,0.0
2006-03-17,149.91938046266287,153.21923639132476,149.91938046266287,151.6304168701172,5932240,0.0,0.0
2006-03-20,152.68965011372757,156.03024544705883,151.99708766657352,155.45989990234375,7012872,0.0,0.0
2006-03-21,155.4598869434605,157.65979100398116,154.6988858792668,156.04652404785156,5301384,0.0,0.0
2006-03-22,156.43761719955086,156.43761719955086,153.27626970689562,154.2670440673828,5121168,0.0,0.0
2006-03-23,154.8080826610521,156.35616348766263,152.2219736969131,152.70594787597656,2644488,0.0,0.0
2006-03-24,153.74887048688467,155.21547338501074,152.28716103918364,154.1122589111328,2917384,0.0,0.0
2006-03-27,154.40056966437504,155.62273776198225,153.6314233157084,154.07139587402344,2928432,0.0,0.0
2006-03-28,154.80808847110035,155.7043458254067,153.26000758638935,153.79776000976562,3751272,0.0,0.0
2006-03-29,153.0970373547394,155.04436195851744,152.1193021507709,154.6581573486328,4284296,0.0,0.0
2006-03-30,155.04430363735122,163.77058506110183,155.04430363735122,160.35665893554688,5784168,0.0,0.0
2006-03-31,159.52568149960862,159.52568149960862,155.62288567591074,156.07101440429688,2920168,0.0,0.0
2006-04-03,157.00796187521067,159.37082170623356,156.43761639875686,158.94387817382812,3105672,0.0,0.0
2006-04-04,158.91456505172528,159.69675123181656,158.07208599593346,158.7646484375,2971608,0.0,0.0
2006-04-05,158.8900664898255,160.11712855908306,156.43758344687035,157.4202117919922,2776928,0.0,0.0
2006-04-07,158.71899585560806,162.7114141291834,152.77110740722028,153.9329833984375,7385560,0.0,0.0
